Designator,Mid X,Mid Y,Layer,Rotation
BRD1,143.7mm,113.075mm,Top,180.0
C1,51.516014mm,28.036999mm,Top,0.0
C2,48.426013mm,28.036999mm,Top,180.0
D1,94.0mm,115.3mm,Top,180.0
D2,111.500001mm,119.1mm,Top,180.0
D3,94.0mm,119.0mm,Top,180.0
F1,140.0mm,121.5mm,Top,270.0
F2,136.5mm,121.5mm,Top,270.0
F3,15.0mm,115.0mm,Top,0.0
G1,27.940001mm,2.54mm,Top,90.0
G2,12.7mm,15.24mm,Top,90.0
G3,35.56mm,2.540001mm,Top,90.0
G4,20.32mm,2.540001mm,Top,90.0
G5,40.64mm,20.32mm,Top,180.0
G6,148.6mm,25.6mm,Top,0.0
G7,20.32mm,15.24mm,Top,90.0
G8,12.7mm,2.54mm,Top,90.0
J1,77.8mm,145.975mm,Top,0.0
J3,69.66mm,4.7mm,Top,270.0
J4,117.55mm,22.55mm,Top,0.0
P1,143.0mm,120.0mm,Top,0.0
P2,122.5mm,124.0mm,Top,0.0
P3,115.0mm,124.0mm,Top,0.0
P6,109.5mm,124.0mm,Top,0.0
P7,106.5mm,124.0mm,Top,0.0
P8,100.5mm,124.0mm,Top,0.0
P9,84.5mm,124.0mm,Top,0.0
P10,81.5mm,124.0mm,Top,0.0
P11,75.5mm,124.0mm,Top,0.0
P12,72.5mm,124.0mm,Top,0.0
P13,69.5mm,124.0mm,Top,0.0
P14,66.5mm,124.0mm,Top,0.0
P15,63.5mm,124.0mm,Top,0.0
P16,84.5mm,119.5mm,Top,0.0
P17,81.5mm,119.5mm,Top,0.0
P18,78.5mm,124.0mm,Top,0.0
P19,75.5mm,119.5mm,Top,0.0
P20,72.5mm,119.5mm,Top,0.0
P21,69.5mm,119.5mm,Top,0.0
P22,66.5mm,119.5mm,Top,0.0
P23,63.5mm,119.5mm,Top,0.0
P24,84.5mm,115.0mm,Top,0.0
P25,81.5mm,115.0mm,Top,0.0
P26,78.5mm,119.5mm,Top,0.0
P27,75.5mm,115.0mm,Top,0.0
P28,72.5mm,115.0mm,Top,0.0
P29,66.5mm,115.0mm,Top,0.0
P30,63.5mm,115.0mm,Top,0.0
P31,55.5mm,124.0mm,Top,0.0
P32,52.5mm,124.0mm,Top,0.0
P33,49.5mm,124.0mm,Top,0.0
P34,46.5mm,124.0mm,Top,0.0
P35,58.5mm,124.0mm,Top,0.0
P36,55.5mm,119.5mm,Top,0.0
P37,49.5mm,119.5mm,Top,0.0
P38,46.5mm,119.5mm,Top,0.0
P40,40.0mm,124.0mm,Top,0.0
P41,37.0mm,124.0mm,Top,0.0
P42,34.0mm,124.0mm,Top,0.0
P43,34.0mm,119.5mm,Top,0.0
P44,31.0mm,124.0mm,Top,0.0
P45,28.0mm,124.0mm,Top,0.0
P46,25.0mm,124.0mm,Top,0.0
P47,19.0mm,124.0mm,Top,0.0
P48,16.0mm,119.5mm,Top,0.0
P49,13.0mm,124.0mm,Top,0.0
P50,37.0mm,119.5mm,Top,0.0
P51,31.0mm,115.0mm,Top,0.0
P52,28.0mm,119.5mm,Top,0.0
P53,25.0mm,119.5mm,Top,0.0
P54,19.0mm,119.5mm,Top,0.0
P55,20.2mm,115.1mm,Top,0.0
P56,108.3mm,85.5mm,Top,90.0
P57,108.3mm,88.5mm,Top,90.0
P58,145.4mm,52.0mm,Top,270.0
P60,108.349999mm,57.0mm,Top,0.0
P61,108.349999mm,66.0mm,Top,0.0
P65,108.349999mm,82.5mm,Top,90.0
P66,108.349999mm,79.5mm,Top,90.0
P67,108.349999mm,76.5mm,Top,90.0
P68,108.349999mm,73.5mm,Top,90.0
P69,108.349999mm,70.5mm,Top,90.0
P70,103.849999mm,67.5mm,Top,90.0
P71,108.349999mm,61.5mm,Top,0.0
P72,108.349999mm,48.0mm,Top,0.0
P73,63.0mm,27.0mm,Top,0.0
P74,72.0mm,27.0mm,Top,0.0
P75,75.0mm,27.0mm,Top,0.0
P76,66.0mm,27.0mm,Top,0.0
P77,69.0mm,27.0mm,Top,0.0
P78,90.0mm,27.0mm,Top,0.0
P79,81.0mm,27.0mm,Top,0.0
P80,93.0mm,27.0mm,Top,0.0
P81,96.0mm,27.0mm,Top,0.0
P82,87.0mm,27.0mm,Top,0.0
P83,78.0mm,27.0mm,Top,0.0
P86,44.549999mm,84.0mm,Top,270.0
P87,44.549999mm,75.0mm,Top,270.0
P88,44.549999mm,77.85mm,Top,270.0
P89,97.5mm,124.0mm,Top,0.0
P90,13.0mm,119.5mm,Top,0.0
P91,31.0mm,119.5mm,Top,0.0
P92,16.0mm,124.0mm,Top,0.0
P93,44.549999mm,72.0mm,Top,270.0
P94,44.049999mm,62.5mm,Top,0.0
P95,44.549999mm,67.0mm,Top,270.0
P96,44.049999mm,51.0mm,Top,0.0
R1,48.416013mm,29.736999mm,Top,0.0
R2,103.6mm,123.0mm,Top,270.0
R3,94.5mm,123.7mm,Top,270.0
R4,138.2mm,116.1mm,Top,270.0
U1,51.1mm,16.4mm,Top,270.0
C600,96.368mm,17.803mm,Top,90.0
C601,96.495mm,15.898mm,Top,270.0
C602,87.25mm,21.325mm,Top,180.0
C603,86.843mm,20.343mm,Top,180.0
C604,87.25mm,22.325mm,Top,180.0
C605,93.6375mm,12.6595mm,Top,180.0
C606,85.85mm,15.925mm,Top,180.0
C607,95.86mm,19.327mm,Top,0.0
C608,85.35mm,22.975mm,Top,0.0
C609,75.75mm,13.24mm,Top,270.0
C610,70.327mm,19.865mm,Top,0.0
C611,85.4mm,17.975mm,Top,270.0
C612,85.4mm,19.875mm,Top,90.0
C613,70.454mm,15.166mm,Top,0.0
C614,84.2mm,13.875mm,Top,270.0
C615,75.1mm,22.825mm,Top,90.0
C616,73.375mm,17.325mm,Top,270.0
D600,95.606mm,21.359mm,Top,90.0
D601,81.128mm,12.215mm,Top,180.0
D602,78.08mm,12.215mm,Top,0.0
D603,73.46755mm,22.44495mm,Top,270.0
Q600,100.85mm,16.075mm,Top,270.0
Q601,101.35mm,22.975mm,Top,180.0
R600,95.479mm,15.898mm,Top,90.0
R601,95.352mm,17.803mm,Top,90.0
R602,85.35mm,22.025mm,Top,0.0
R603,90.272mm,19.835mm,Top,270.0
R604,86.843mm,19.327mm,Top,180.0
R605,89.256mm,19.835mm,Top,270.0
R606,94.336mm,19.835mm,Top,90.0
R607,91.669mm,12.6595mm,Top,180.0
R608,88.3mm,19.835mm,Top,270.0
R609,92.304mm,19.581mm,Top,0.0
R610,95.985mm,13.925mm,Top,0.0
R611,95.985mm,12.875mm,Top,180.0
R612,95.985mm,11.825mm,Top,0.0
R613,93.1mm,21.625mm,Top,270.0
R614,94.1mm,21.825mm,Top,270.0
R615,93.55mm,23.625mm,Top,0.0
R616,95.535mm,23.575mm,Top,0.0
R617,78.865mm,23.925mm,Top,0.0
R618,85.35mm,13.875mm,Top,90.0
R619,89.7005mm,12.6595mm,Top,180.0
R620,87.732mm,12.6595mm,Top,180.0
R621,87.25mm,23.925mm,Top,0.0
R622,96.85mm,22.125mm,Top,90.0
R623,86.335mm,14.12mm,Top,270.0
R624,85.35mm,23.925mm,Top,180.0
R625,73.2mm,15.175mm,Top,0.0
R626,83.668mm,12.215mm,Top,180.0
R627,76.815mm,10.975mm,Top,0.0
R628,73.39255mm,19.93495mm,Top,270.0
U600,90.78mm,16.025mm,Top,270.0
U601,90.4mm,22.625mm,Top,0.0
U602,79.7mm,18.175mm,Top,90.0
U603,70.835mm,22.151mm,Top,270.0
U604,70.708mm,17.4774mm,Top,0.0
R430,63.831663mm,22.912499mm,Top,90.0
C431,60.381663mm,15.262499mm,Top,270.0
C430,60.381663mm,18.962499mm,Top,90.0
U430,63.631663mm,17.642499mm,Top,0.0
D430,61.411663mm,22.912499mm,Top,0.0
